;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;trueLabel;label1;label2;label3;label4;label5
0;7.0;0.27;0.36;20.7;0.045;45.0;170.0;1.001;3.0;0.45;8.8;6;1.0;0.0;1.0;1.0;0.0;0.0
1;6.3;0.3;0.34;1.6;0.049;14.0;132.0;0.9940000000000001;3.3;0.49;9.5;6;1.0;0.0;0.0;1.0;1.0;0.0
2;8.1;0.28;0.4;6.9;0.05;30.0;97.0;0.9951;3.26;0.44;10.1;6;1.0;1.0;1.0;1.0;1.0;0.0
3;7.2;0.23;0.32;8.5;0.057999999999999996;47.0;186.0;0.9956;3.19;0.4;9.9;6;1.0;1.0;1.0;1.0;1.0;0.0
4;7.2;0.23;0.32;8.5;0.057999999999999996;47.0;186.0;0.9956;3.19;0.4;9.9;6;1.0;1.0;1.0;0.0;0.0;0.0
5;8.1;0.28;0.4;6.9;0.05;30.0;97.0;0.9951;3.26;0.44;10.1;6;1.0;1.0;1.0;0.0;1.0;1.0
6;6.2;0.32;0.16;7.0;0.045;30.0;136.0;0.9949;3.18;0.47;9.6;6;1.0;1.0;1.0;0.0;1.0;0.0
7;7.0;0.27;0.36;20.7;0.045;45.0;170.0;1.001;3.0;0.45;8.8;6;1.0;1.0;1.0;0.0;0.0;0.0
8;6.3;0.3;0.34;1.6;0.049;14.0;132.0;0.9940000000000001;3.3;0.49;9.5;6;1.0;1.0;1.0;0.0;0.0;0.0
9;8.1;0.22;0.43;1.5;0.044000000000000004;28.0;129.0;0.9938;3.22;0.45;11.0;6;1.0;1.0;0.0;0.0;0.0;0.0
10;8.1;0.27;0.41;1.45;0.033;11.0;63.0;0.9908;2.99;0.56;12.0;5;1.0;1.0;1.0;1.0;0.0;0.0
11;8.6;0.23;0.4;4.2;0.035;17.0;109.0;0.9947;3.14;0.53;9.7;5;1.0;1.0;1.0;1.0;1.0;0.0
12;7.9;0.18;0.37;1.2;0.04;16.0;75.0;0.992;3.18;0.63;10.8;5;1.0;1.0;0.0;0.0;0.0;0.0
13;6.6;0.16;0.4;1.5;0.044000000000000004;48.0;143.0;0.9912;3.54;0.52;12.4;7;1.0;1.0;0.0;1.0;0.0;0.0
14;8.3;0.42;0.62;19.25;0.04;41.0;172.0;1.0002;2.98;0.67;9.7;5;1.0;1.0;1.0;0.0;1.0;0.0
15;6.6;0.17;0.38;1.5;0.032;28.0;112.0;0.9914;3.25;0.55;11.4;7;1.0;1.0;1.0;0.0;0.0;0.0
16;6.3;0.48;0.04;1.1;0.046;30.0;99.0;0.9928;3.24;0.36;9.6;6;1.0;1.0;1.0;1.0;0.0;0.0
17;6.2;0.66;0.48;1.2;0.028999999999999998;29.0;75.0;0.9892;3.33;0.39;12.8;8;1.0;1.0;1.0;1.0;0.0;0.0
18;7.4;0.34;0.42;1.1;0.033;17.0;171.0;0.9917;3.12;0.53;11.3;6;1.0;0.0;1.0;0.0;0.0;1.0
